P_i (Model Probability),R_i (Recovery Score),BFD_i (Fairness Divergence),BFI (FAADS Score),SVE Decision,RF_pred,XGB_pred
0.99499375,0.9259259249999999,0.13341712026962427,0.9285416855321101,Automatic Intervention,3,3
0.8922126,0.9259259249999999,0.1313593902517434,0.8953235290473327,Automatic Intervention,1,1
0.99727494,0.9259259249999999,0.11770506207709623,0.9346365621787605,Automatic Intervention,0,0
0.85689616,0.9259259249999999,0.16991947662370616,0.8705586630925779,Automatic Intervention,1,1
0.9391596,0.9259259249999999,0.0,0.9554782206075898,Automatic Intervention,1,1
0.9992447,0.9259259249999999,0.12423000310075136,0.9330681006843158,Automatic Intervention,4,4
0.9992119,0.9259259249999999,0.15686334667825466,0.9219619456249379,Automatic Intervention,4,4
0.9997298,0.9259259249999999,0.0,0.975466399814438,Automatic Intervention,0,0
0.66482025,0.8888888879999999,0.13125063388799615,0.808098807844772,Automatic Intervention,1,1
0.9222599,0.9259259249999999,0.14380859517611647,0.9010064194616232,Automatic Intervention,1,1
0.9976814,0.9259259249999999,0.13728185923271222,0.928114591398918,Automatic Intervention,3,3
0.99812025,0.9259259249999999,0.43119069688866407,0.8283304258826986,Automatic Intervention,2,2
0.99905545,0.9259259249999999,0.10465776949272412,0.9396602242456428,Automatic Intervention,2,2
0.9960961,0.9259259249999999,0.10465776949272412,0.9386836319433204,Automatic Intervention,0,0
0.99618953,0.9259259249999999,0.09247481082525717,0.9428566832939305,Automatic Intervention,1,1
0.99770725,0.9259259249999999,0.19616567672017424,0.9081026169173838,Automatic Intervention,0,0
0.9991673,0.9259259249999999,0.1111809335580202,0.9374792735408805,Automatic Intervention,4,4
0.46726912,0.9259259249999999,0.20256408294721004,0.7308825775061318,Instructor Review,3,2
0.5178873,0.9259259249999999,0.0,0.8164583736913911,Automatic Intervention,1,1
0.99971515,0.9259259249999999,0.09813576220548184,0.9420954126883473,Automatic Intervention,0,0
0.64533716,0.8888888879999999,0.09816796113064145,0.812917497660802,Automatic Intervention,1,1
0.99441165,0.9259259249999999,0.11770506207709623,0.9336916795474586,Automatic Intervention,3,3
0.93467593,0.9259259249999999,0.09829868759803245,0.9205770709246768,Automatic Intervention,1,1
0.93467593,0.9259259249999999,0.0,0.9539986247080079,Automatic Intervention,1,1
0.9963989,0.9259259249999999,0.09813576220548184,0.9410010416079487,Automatic Intervention,2,2
0.977782,0.8148148139999999,0.0,0.9315569641815236,Automatic Intervention,1,1
0.99972814,0.9259259249999999,0.41807604392755365,0.8333200084372666,Automatic Intervention,0,0
0.99704933,0.9259259249999999,0.08602110500234629,0.945334661382851,Automatic Intervention,0,0
0.9997298,0.9259259249999999,0.07857956114425446,0.9487493490253913,Automatic Intervention,0,0
0.99704933,0.9259259249999999,0.0,0.9745818370836488,Automatic Intervention,0,0
0.99903935,0.9259259249999999,0.06555516049431943,0.9529498064917153,Automatic Intervention,2,2
0.99563783,0.8888888879999999,0.0,0.9618938343770513,Automatic Intervention,2,2
0.99618953,0.9259259249999999,0.14392872802685897,0.9253623514453858,Automatic Intervention,1,1
0.9989126,0.9259259249999999,0.0,0.9751967185991517,Automatic Intervention,2,2
0.91864556,0.9259259249999999,0.09232550815855975,0.917317920500992,Automatic Intervention,1,1
0.99972814,0.9259259249999999,0.2039033719484474,0.9061387169101628,Automatic Intervention,0,0
0.9972721,0.9259259249999999,0.18992271643812375,0.9100816358240171,Automatic Intervention,0,0
0.71295017,0.9259259249999999,0.18658229155784348,0.8173911459426446,Automatic Intervention,1,1
0.99905545,0.9259259249999999,0.07857956114425446,0.9485268150841224,Automatic Intervention,2,2
0.9992292,0.9259259249999999,0.05403504002593288,0.9569292919326258,Automatic Intervention,2,2
0.998755,0.9259259249999999,0.05255028283126636,0.9572776173839546,Automatic Intervention,2,2
0.99704933,0.9259259249999999,0.08602110500234629,0.945334661382851,Automatic Intervention,0,0
0.99905545,0.9259259249999999,0.0,0.975243865873169,Automatic Intervention,2,2
0.9927806,0.9259259249999999,0.1633912599974018,0.9176201423122329,Automatic Intervention,2,2
0.99971455,0.9259259249999999,0.0,0.9754613632219544,Automatic Intervention,0,0
0.92816496,0.8888888879999999,0.0,0.9396277742631445,Automatic Intervention,3,3
0.9997298,0.9259259249999999,0.0,0.975466399814438,Automatic Intervention,0,0
0.9997298,0.9259259249999999,0.033129893053057705,0.9642022361763982,Automatic Intervention,0,0
0.9986564,0.9259259249999999,0.05255028283126636,0.9572450732479072,Automatic Intervention,3,3
0.9420949,0.9259259249999999,0.03978773851312434,0.9429190543976947,Automatic Intervention,1,1
