Student_Label,Section,Exam,IGV,IL,SER,n_unanswered,n_questions,blank_ratio,duration_sec,start_min,score_pct,Label,BFD,is_disrupted,RIF
Student_DD,Section_202,Midterm1,0.9629629629629629,1.0,0.9259259259259259,1,27,0.037037037037037035,5280,1,,Normal,0.25862983327852523,False,0
Student_DE,Section_202,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,4920,1,,Normal,0.12423000322254697,False,0
Student_DF,Section_103,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,4260,1,,Normal,0.287455680341759,False,1
Student_DG,Section_101,Midterm1,0.9629629629629629,1.0,0.9259259259259259,1,27,0.037037037037037035,4080,1,,Normal,0.18493656501646516,False,0
Student_DH,Section_201,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,4320,1,,Normal,0.13728185936730397,False,0
Student_DI,Section_202,Midterm1,0.0,2.0,0.9259259259259259,0,27,0.0,3780,2,,Normal,0.2059378161891292,False,1
Student_DJ,Section_103,Midterm1,0.0,2.0,0.9259259259259259,0,27,0.0,4800,2,,Normal,0.18297669011951415,False,0
Student_DK,Section_102,Midterm1,0.13296398891966757,2.0,0.18518518518518517,20,27,0.7407407407407407,5220,2,,P3,0.24304422948956667,True,2
Student_DL,Section_102,Midterm1,0.0,2.0,0.9259259259259259,0,27,0.0,5220,2,,Normal,0.133417120400427,False,1
Student_DM,Section_101,Midterm1,0.9629629629629629,2.0,0.9259259259259259,1,27,0.037037037037037035,3780,2,,Normal,0.1313593903805287,False,1
Student_DN,Section_201,Midterm1,0.0,2.0,0.9259259259259259,0,27,0.0,4620,2,,Normal,0.1177050621924948,False,0
Student_DO,Section_101,Midterm1,0.0,2.0,0.9259259259259259,0,27,0.0,3318,2,,Normal,0.16991947679029595,False,0
Student_DP,Section_201,Midterm1,0.0,2.0,0.9259259259259259,0,27,0.0,6120,2,,Normal,0.0,False,0
Student_DQ,Section_201,Midterm1,0.0,2.0,0.9259259259259259,0,27,0.0,4440,2,,Normal,0.124230003222547,False,0
Student_DR,Section_103,Midterm1,0.0,2.0,0.9259259259259259,0,27,0.0,5040,2,,Normal,0.15686334683204417,False,0
Student_DS,Section_102,Midterm1,0.9629629629629629,2.0,0.9259259259259259,1,27,0.037037037037037035,2201,2,,Normal,0.0,False,0
Student_DT,Section_103,Midterm1,0.8888888888888888,2.0,0.8888888888888888,1,27,0.037037037037037035,5220,2,,Normal,0.13125063401667486,False,0
Student_DU,Section_103,Midterm1,0.0,2.0,0.9259259259259259,0,27,0.0,4380,2,,Normal,0.14380859531710705,False,0
Student_DV,Section_202,Midterm1,0.0,2.0,0.9259259259259259,0,27,0.0,3391,2,,Normal,0.13728185936730397,False,0
Student_DW,Section_102,Midterm1,0.0,2.0,0.9259259259259259,2,27,0.07407407407407407,6120,2,85.2,Normal,0.43119069731140536,False,0
Student_DX,Section_202,Midterm1,0.0,3.0,0.9259259259259259,0,27,0.0,3079,3,,Normal,0.10465776959533106,False,0
Student_DY,Section_202,Midterm1,0.0,3.0,0.9259259259259259,0,27,0.0,4440,3,,Normal,0.10465776959533106,False,0
Student_DZ,Section_101,Midterm1,0.9629629629629629,3.0,0.9259259259259259,1,27,0.037037037037037035,5160,3,,Normal,0.09247481091591989,False,1
Student_EA,Section_201,Midterm1,0.0,3.0,0.9259259259259259,0,27,0.0,4920,3,,Normal,0.19616567691249592,False,1
Student_EB,Section_103,Midterm1,0.0,3.0,0.9259259259259259,0,27,0.0,4260,3,,Normal,0.11118093366702247,False,0
Student_EC,Section_101,Midterm1,0.0,3.0,0.9259259259259259,0,27,0.0,4800,3,,Normal,0.20256408314580476,False,0
Student_ED,Section_102,Midterm1,0.0,3.0,0.9259259259259259,2,27,0.07407407407407407,529,3,70.36,Normal,0.0,False,0
Student_EE,Section_103,Midterm1,0.0,3.0,0.9259259259259259,0,27,0.0,4980,3,,Normal,0.09813576230169457,False,0
